id;baslangic_durak_no;bitis_durak_no;cikis_zaman;varis_zaman;arac_no;ana_hat_no;alt_hat_no
1; ;T10d;2021-06-06 03:05:00;2021-06-06 03:11:00;44;10;0
2;T11a;T12a;2021-06-06 03:09:00;2021-06-06 03:11:00;800;10;0
3; ;T16d;2021-06-06 03:06:00;2021-06-06 03:11:00;53;10;0
4; ;T7a;2021-06-06 03:07:00;2021-06-06 03:12:00;87;10;0
5;T12a;T13a;2021-06-06 03:11:00;2021-06-06 03:13:00;800;10;0
6; ;T3d;2021-06-06 03:08:00;2021-06-06 03:14:00;96;10;0
7; ;T17d;2021-06-06 03:08:00;2021-06-06 03:14:00;54;10;0
8; ;T19d;2021-06-06 03:08:00;2021-06-06 03:14:00;77;10;0
9;T13a;T15a;2021-06-06 03:13:00;2021-06-06 03:16:00;800;10;0
10; ;T10d;2021-06-06 03:11:00;2021-06-06 03:16:00;44;10;0
11;T15a;T16a;2021-06-06 03:16:00;2021-06-06 03:16:00;800;10;0
12; ;T7a;2021-06-06 03:12:00;2021-06-06 03:17:00;87;10;0
13;T16a;T17a;2021-06-06 03:16:00;2021-06-06 03:17:00;800;10;0
14; ;T20a;2021-05-06 02:39:00;2021-06-06 03:18:00;57;10;0
15; ;T16d;2021-06-06 03:11:00;2021-06-06 03:18:00;53;10;0
16;T17a;T18a;2021-06-06 03:17:00;2021-06-06 03:18:00;800;10;0
17; ;T3d;2021-06-06 03:14:00;2021-06-06 03:19:00;96;10;0
18; ;T17d;2021-06-06 03:14:00;2021-06-06 03:19:00;54;10;0
19; ;T19d;2021-06-06 03:14:00;2021-06-06 03:19:00;77;10;0
20;T18a;T19a;2021-06-06 03:18:00;2021-06-06 03:19:00;800;10;0
21; ;T10d;2021-06-06 03:16:00;2021-06-06 03:21:00;44;10;0
22;T19a;T21a;2021-06-06 03:19:00;2021-06-06 03:22:00;800;10;0
23; ;T7a;2021-06-06 03:17:00;2021-06-06 03:22:00;87;10;0
24;T21a;T22a;2021-06-06 03:22:00;2021-06-06 03:23:00;800;10;0
25; ;T20a;2021-06-06 03:18:00;2021-06-06 03:23:00;57;10;0
26; ;T16d;2021-06-06 03:18:00;2021-06-06 03:24:00;53;10;0
27; ;T3a;2021-06-06 03:19:00;2021-06-06 03:24:00;96;10;0
28;T3a;T3d;2021-06-06 03:24:00;2021-06-06 03:24:00;96;10;0
29; ;T17d;2021-06-06 03:19:00;2021-06-06 03:24:00;54;10;0
30; ;T19d;2021-06-06 03:19:00;2021-06-06 03:24:00;77;10;0
31;T22a;T24a;2021-06-06 03:23:00;2021-06-06 03:25:00;800;10;0
32; ;T10d;2021-06-06 03:21:00;2021-06-06 03:26:00;44;10;0
33;T24a;T25a;2021-06-06 03:25:00;2021-06-06 03:27:00;800;10;0
34; ;T7a;2021-06-06 03:22:00;2021-06-06 03:28:00;87;10;0
35;T25a;T26a;2021-06-06 03:27:00;2021-06-06 03:28:00;800;10;0
36; ;T3d;2021-06-06 03:24:00;2021-06-06 03:29:00;96;10;0
37; ;T19d;2021-06-06 03:24:00;2021-06-06 03:29:00;77;10;0
38; ;T17d;2021-06-06 03:24:00;2021-06-06 03:29:00;54;10;0
39; ;T16d;2021-06-06 03:24:00;2021-06-06 03:30:00;53;10;0
40;T26a;T27a;2021-06-06 03:28:00;2021-06-06 03:30:00;800;10;0
41;T27a;T28a;2021-06-06 03:30:00;2021-06-06 03:31:00;800;10;0
42; ;T10d;2021-06-06 03:26:00;2021-06-06 03:32:00;44;10;0
43; ;T7a;2021-06-06 03:28:00;2021-06-06 03:33:00;87;10;0
44;T28a;T30a;2021-06-06 03:31:00;2021-06-06 03:34:00;800;10;0
45; ;T3d;2021-06-06 03:29:00;2021-06-06 03:34:00;96;10;0
46; ;T19d;2021-06-06 03:29:00;2021-06-06 03:34:00;77;10;0
47; ;T17d;2021-06-06 03:29:00;2021-06-06 03:35:00;54;10;0
48; ;T16d;2021-06-06 03:30:00;2021-06-06 03:35:00;53;10;0
49; ;T10d;2021-06-06 03:32:00;2021-06-06 03:37:00;44;10;0
50; ;T7a;2021-06-06 03:33:00;2021-06-06 03:38:00;87;10;0
51;T30a;T31d;2021-06-06 03:34:00;2021-06-06 03:39:00;800;10;0
52; ;T3d;2021-06-06 03:34:00;2021-06-06 03:40:00;96;10;0
