Hat No;Alt Hat No;Saat;"Tarife Zamaný
H: Haftaiçi
C: Cumartesi
P: Pazar";Çýkýþ / Varýþ Duraðý
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;00:10;H;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;00:10;C;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;00:10;P;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;06:00;C;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;06:00;H;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;06:35;H;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;06:35;C;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;07:00;C;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;07:00;H;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;07:25;P;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;07:30;H;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;07:40;C;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;07:40;C;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;07:45;H;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;08:10;P;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;08:15;H;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;08:25;P;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;08:25;C;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;08:25;C;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;08:30;H;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;09:00;H;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;09:10;C;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;09:10;P;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;09:15;H;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;09:25;P;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;09:25;C;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;09:45;H;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;10:00;H;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;10:10;C;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;10:10;P;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;10:25;P;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;10:25;C;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;10:30;H;MERAM
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;10:45;H;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;11:10;C;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;11:10;P;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;11:15;H;ALAADDÝN
1;0 - HOCAFAKIH TIP FAKÜLTESÝ ANASULTAN;11:25;P;MERAM
